Geographic Area Name,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Geographic Area Name_x,Area_Type,Tract_x,Plurality Race,Tract_y, !!Total:!!Population of one race:!!White alone_PROPORTION, !!Total:!!Population of one race:!!Black or African American alone_PROPORTION, !!Total:!!Population of one race:!!American Indian and Alaska Native alone_PROPORTION, !!Total:!!Population of one race:!!Asian alone_PROPORTION, !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone_PROPORTION, !!Total:!!Population of one race:!!Some Other Race alone_PROPORTION,FIPS Code 2020,California Census tracts,Number of people in state prison from each Census tract 2020,"Census population, 2020","Total population, 2020","Imprisonment rate per 100,000",Geographic Area Name_y,Estimate!!Total!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!AGE!!16 to 19 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher
4055.0,16.2,4055.0,Urban,4055.0,Asian,4055.0,0.24167533818938605,0.17195629552549427,0.016389177939646202,0.3850156087408949,0.002081165452653486,0.09079084287200832,6001405500,4055.0,7,"3,844","3,851",182,4055.0,3312,5.0,55,2576,239,422,663,1252
4056.0,9.5,4056.0,Urban,4056.0,Asian,4056.0,0.304590570719603,0.17307692307692307,0.018610421836228287,0.3197890818858561,0.002791563275434243,0.07413151364764269,6001405600,4056.0,8,"3,224","3,232",248,4056.0,2889,7.0,159,2277,237,325,312,1403
4057.0,16.5,4057.0,Urban,4057.0,Asian,4057.0,0.1936897458369851,0.2483201869704937,0.018697049371895997,0.3254455156295647,0.0026292725679228747,0.10224948875255624,6001405700,4057.0,18,"3,423","3,441",523,4057.0,2924,5.2,81,2244,431,374,771,668
4058.0,20.4,4058.0,Urban,4058.0,Asian,4058.0,0.1300925925925926,0.16527777777777777,0.01597222222222222,0.46944444444444444,0.005092592592592593,0.12453703703703704,6001405800,4058.0,18,"4,320","4,338",415,4058.0,3241,7.6,116,2333,473,663,490,707
4059.01,23.6,4059.01,Urban,4059.01,Asian,4059.01,0.09324608553400328,0.13204019630754849,0.03879411077354522,0.3454078055620472,0.0037391913998597805,0.28441224585183456,6001405901,4059.01,5,"4,279","4,284",117,4059.01,3294,9.7,168,2515,895,747,540,333
4059.02,20.1,4059.02,Urban,4059.02,Asian,4059.02,0.10531279471864194,0.14366551398931154,0.025149324111914492,0.4800377239861679,0.0034580320653882428,0.1653568060358378,6001405902,4059.02,13,"3,181","3,194",407,4059.02,2660,12.2,198,1911,564,418,336,593
4060.0,15.0,4060.0,Urban,4060.0,Asian,4060.0,0.24909056098027954,0.1552747463143787,0.018763162933180165,0.3333333333333333,0.013593720084242773,0.1495309209266705,6001406000,4060.0,14,"5,223","5,237",267,4060.0,3301,10.7,168,2326,594,534,450,748
4061.0,18.6,4061.0,Urban,4061.0,Some Other Race,4061.0,0.24019024970273484,0.14081875318498385,0.03940886699507389,0.12043485646339391,0.009002887718702226,0.33276711397995584,6001406100,4061.0,15,"5,887","5,902",254,4061.0,4061,6.5,263,2883,674,625,601,983
4062.01,20.8,4062.01,Urban,4062.01,Some Other Race,4062.01,0.08926080892608089,0.13229727037258418,0.044032675831839015,0.29109384339509864,0.0021916716477385933,0.3391113767682805,6001406201,4062.01,24,"5,019","5,043",476,4062.01,3617,5.2,166,2716,991,711,518,496
4062.02,28.6,4062.02,Urban,4062.02,Some Other Race,4062.02,0.10169846928077166,0.1113440972950304,0.06290626965820927,0.13671629272384148,0.002935625917383099,0.4581673306772908,6001406202,4062.02,14,"4,769","4,783",293,4062.02,3610,2.4,178,2551,862,629,462,598
